fecha;nemo;peso;vol
27/10/2023;BCOLO CB Equity;0.110333866;5917855
27/10/2023;BOGOTA CB Equity;0.008075702;620165
27/10/2023;BVC CB Equity;0.004159483;20954
27/10/2023;CELSIA CB Equity;0.017547665;3502882
27/10/2023;CEMARGOS CB Equity;0.034126192;31462008
27/10/2023;CNEC CB Equity;0.006619942;151577
27/10/2023;CORFICOL CB Equity;0.019915274;1769979
27/10/2023;ECOPETL CB Equity;0.185437567;124488970
27/10/2023;GEB CB Equity;0.07055987;17743389
27/10/2023;GRUPOBOL CB Equity;0.012202721;89788
27/10/2023;GRUPOARG CB Equity;0.040906154;12174236
27/10/2023;GRUPOSUR CB Equity;0.022899031;1181174
27/10/2023;ISA CB Equity;0.092983224;9149455
27/10/2023;MINEROS CB Equity;0.001989049;760295
27/10/2023;NUTRESA CB Equity;0.067009138;317320
27/10/2023;PFAVAL CB Equity;0.032560076;60616042
27/10/2023;PFBCOLO CB Equity;0.179741664;11121883
27/10/2023;PFCEMARG CB Equity;0.010702403;4655617
27/10/2023;PFCORCOL CB Equity;0.002721148;42916
27/10/2023;PFDAVVND CB Equity;0.026484584;6793258
27/10/2023;PFGRUPOA CB Equity;0.021042333;1006894
27/10/2023;PFGRUPSU CB Equity;0.020723731;4423382
27/10/2023;PROMIG CB Equity;0.007324023;348724
27/10/2023;TERPEL CB Equity;0.003642088;130182
